latitude,longitude
36.2048,138.2529
-35.2975,-71.5268
37.7749,-122.4194
-0.7893,131.1008
51.9194,-176.5486
35.6762,139.6503
13.7565,121.0583
-41.2865,174.7762
60.7922,-149.9692
-18.1416,178.4419
39.9042,116.4074
27.7172,85.3240
35.6892,51.3890
41.0082,28.9784
37.9838,23.7275
64.1265,-21.8174
38.7223,-9.1393
-1.2921,36.8219
9.0320,38.7483
-6.3690,34.8888
35.0116,135.7681
31.9522,120.4339
39.9042,116.4074
22.3193,114.1694
25.0330,121.5654
37.5665,126.9780
35.1795,129.0756
34.6937,135.5023
33.5904,130.4017
43.0621,141.3544
38.2682,140.8694
36.6512,138.1811
34.7025,137.7307
33.8834,132.7661
31.9141,131.4239
26.3344,127.8047
24.1469,120.6839
22.9908,120.2133
31.2304,121.4737
29.5630,106.5516
45.7589,126.6426
43.8163,125.3230
41.7966,123.4327
38.9147,121.6147
37.8705,112.5631
36.0611,103.8343
34.3416,108.9398
30.5928,114.3055
28.2278,112.9388
26.0745,119.2965
23.1291,113.2644
22.5431,114.0579
20.0479,110.3420
39.1422,-119.7674
37.7749,-122.4194
34.0522,-118.2437
32.7157,-117.1611
47.6062,-122.3321
45.5155,-122.6789
44.0521,-123.0868
40.7608,-111.8910
39.7392,-104.9903
35.0844,-106.6504
31.7619,-106.4850
29.7604,-95.3698
25.7617,-80.1918
43.0731,-89.4012
41.8781,-87.6298
39.9612,-82.9988
35.7796,-78.6382
33.7490,-84.3880
42.3601,-71.0589
40.7128,-74.0060
39.9526,-75.1652
38.9072,-77.0369
36.1627,-86.7816
33.4484,-112.0740
36.1699,-115.1398
43.6166,-116.2000
47.6588,-117.4260
61.2181,-149.9003
58.3019,-134.4197
21.3069,-157.8583
19.7281,-155.0900
18.4655,-66.1057
14.6010,-90.5153
9.9281,-84.0907
4.7110,-74.0721
-0.1807,-78.4678
-12.0464,-77.0428
-33.4489,-70.6483
-34.6037,-58.3816
-23.5505,-46.6333
